id;englishTitle;japaneseTitle;startDate;endDate;year;subtype;status;posterImage;episodeCount;episodeLength;totalLength
1;Instant History;インスタントヒストリー;01/05/1961;25/02/1962;1961;TV;finished;https://media.kitsu.io/anime/poster_images/10113/small.jpg?1419419439;312;3;936
2;Otogi Manga Calendar;おとぎマンガカレンダー;25/06/1962;25/06/1964;1962;TV;finished;https://media.kitsu.io/anime/poster_images/7098/small.jpg?1408460268;312;5;1560
3;Tetsuwan Atom;鉄腕アトム;01/01/1963;31/12/1966;1963;TV;finished;https://media.kitsu.io/anime/poster_images/2507/small.jpg?1486236390;193;26;5018
4;Ginga Shounen Tai;銀河少年隊;07/04/1963;01/04/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/11372/small.jpg?1442431202;92;21;1932
5;Sennin Buraku;仙人部落;04/09/1963;23/02/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/5179/small.jpg?1408454577;23;15;345
6;Tetsujin 28-gou;鉄人２８号;20/10/1963;27/05/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/2448/small.jpg?1408446728;96;25;2400
7;Eightman;エイトマン;07/11/1963;24/12/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/3906/small.jpg?1486236864;56;23;25
8;Ookami Shounen Ken;狼少年ケン;25/11/1963;16/08/1965;1963;TV;finished;https://media.kitsu.io/anime/poster_images/9916/small.jpg?1413322652;86;24;2064
9;Shisukon Ouji;シスコン王子;20/12/1963;27/03/1964;1963;TV;finished;https://media.kitsu.io/anime/poster_images/9590/small.jpg?1412324525;14;25;350
10;0-sen Hayato;0戦はやと;21/01/1964;27/10/1964;1964;TV;finished;https://media.kitsu.io/anime/poster_images/6806/small.jpg?1597691038;38;15;570
11;Big X;ビッグX;08/03/1964;27/09/1965;1964;TV;finished;https://media.kitsu.io/anime/poster_images/5809/small.jpg?1597690852;59;25;1475
12;Shounen Ninja Kaze no Fujimaru;少年忍者風のフジ丸;07/06/1964;31/08/1965;1964;TV;finished;https://media.kitsu.io/anime/poster_images/6936/small.jpg?1597691011;65;24;1560
13;Mirai Kara Kita Shounen Super Jetter;未来から来た少年 スーパージェッター;07/01/1965;20/01/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/7380/small.jpg?1597690701;52;25;1300
14;Uchuu Patrol Hopper;宇宙パトロールホッパ;01/02/1965;29/11/1965;1965;TV;finished;https://media.kitsu.io/anime/poster_images/6841/small.jpg?1408459553;44;25;1100
15;Dolphin Ouji;ドルフィン王子;04/04/1965;18/04/1965;1965;TV;finished;https://media.kitsu.io/anime/poster_images/5516/small.jpg?1408455679;3;23;69
16;Uchuujin Pipi;宇宙人ピピ;08/04/1965;31/03/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/9684/small.jpg?1412325303;52;25;1300
17;Uchuu Shounen Soran;宇宙少年ソラン;04/05/1965;28/03/1967;1965;TV;finished;https://media.kitsu.io/anime/poster_images/6838/small.jpg?1408459544;96;25;2400
18;Uchuu Ace;宇宙エース;08/05/1965;28/04/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/4825/small.jpg?1408453611;52;25;1300
19;Kaitou Pride;怪盗プライド;31/05/1965;04/11/1965;1965;TV;finished;https://media.kitsu.io/anime/poster_images/9868/small.jpg?1413322293;105;8;840
20;Yuusei Shounen Papii;遊星少年パピイ;03/06/1965;27/05/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/4566/small.jpg?1408452908;52;23;25
21;Wonder 3;ワンダー３;06/06/1965;27/06/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/3459/small.jpg?1486236987;52;23;1196
22;Obake no Q-tarou;"オバQ; オバケのＱ太郎";29/08/1965;28/06/1967;1965;TV;finished;https://media.kitsu.io/anime/poster_images/1388/small.jpg?1408443897;96;25;2400
23;Jungle Taitei;ジャングル大帝;06/10/1965;28/09/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/1412/small.jpg?1584691972;52;25;1300
24;Hustle Punch;ハッスルパンチ;01/11/1965;25/04/1966;1965;TV;finished;https://media.kitsu.io/anime/poster_images/9330/small.jpg?1412322816;26;25;650
25;Tatakae! Osper;戦え! オスパー;14/12/1965;11/10/1967;1965;TV;finished;https://media.kitsu.io/anime/poster_images/9661/small.jpg?1412325115;52;24;1248
26;Osomatsu-kun;おそ松くん;05/02/1966;25/03/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/5921/small.jpg?1597696571;56;25;1400
27;Rainbow Sentai Robin;レインボー戦隊ロビン;23/04/1966;24/03/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/5734/small.jpg?1408456312;48;26;1248
28;Kaizoku Ouji;海賊王子;02/05/1966;28/11/1966;1966;TV;finished;https://media.kitsu.io/anime/poster_images/9869/small.jpg?1413322303;31;25;775
29;Harisu no Kaze;ハリスの旋風;05/05/1966;31/08/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/9300/small.jpg?1412322631;70;25;1750
30;Yuusei Kamen;遊星仮面;03/06/1966;21/02/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/6808/small.jpg?1597690884;39;25;975
31;Monoshiri Daigaku: Ashita no Calendar;ものしり大学　明日のカレンダー;01/07/1966;02/08/1970;1966;TV;finished;https://media.kitsu.io/anime/poster_images/9463/small.jpg?1597691165;1274;5;6370
32;Robotan;ロボタン;04/10/1966;27/09/1968;1966;TV;finished;https://media.kitsu.io/anime/poster_images/13185/small.jpg?1485053953;104;25;2600
33;Jungle Taitei: Susume Leo!;ジャングル大帝・進めレオ;05/10/1966;29/03/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/2330/small.jpg?1408446429;26;20;520
34;Ganbare! Marine Kid;がんばれ！マリンキッド;06/10/1966;26/12/1966;1966;TV;finished;https://media.kitsu.io/anime/poster_images/5524/small.jpg?1408455701;13;25;325
35;Tobidase! Bacchiri;とびだせ! バッチリ;14/11/1966;15/04/1967;1966;TV;finished;https://media.kitsu.io/anime/poster_images/9942/small.jpg?1413322870;132;10;1320
36;Mahoutsukai Sally;魔法使いサリー;05/12/1966;30/12/1968;1966;TV;finished;https://media.kitsu.io/anime/poster_images/2953/small.jpg?1597698267;109;30;3270
37;Gokuu no Daibouken;悟空の大冒険;07/01/1967;30/09/1967;1967;TV;finished;https://media.kitsu.io/anime/poster_images/2449/small.jpg?1408446730;39;25;975
38;Ougon Bat;黄金バット;01/04/1967;23/03/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/3333/small.jpg?1408449393;52;25;1300
39;Kaminari Boy Pikkaribee★;かみなり坊やピッカリ★ビー;01/04/1967;30/03/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/9362/small.jpg?1412323029;54;25;1350
40;Mach GoGoGo;マッハＧｏＧｏＧｏ;02/04/1967;31/03/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/1298/small.jpg?1597698676;52;1;52
41;Ribbon no Kishi;リボンの騎士;02/04/1967;07/04/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/2732/small.jpg?1597691993;52;0;26
42;Perman;パーマン;02/04/1967;14/04/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/4513/small.jpg?1408452766;54;25;1350
43;Bouken Gabotenjima;冒険ガボテン島;04/04/1967;26/12/1967;1967;TV;finished;https://media.kitsu.io/anime/poster_images/5233/small.jpg?1408454741;39;24;936
44;King Kong: 001/7 Tom Thumb;キングコング・001/7親指トム;05/04/1967;04/10/1967;1967;TV;finished;https://media.kitsu.io/anime/poster_images/9388/small.jpg?1597690885;26;25;650
45;Pyun Pyun Maru;ピュンピュン丸;03/07/1967;30/03/1969;1967;TV;finished;https://media.kitsu.io/anime/poster_images/7328/small.jpg?1597691121;26;25;650
46;Donkikko;ドンキッコ;07/09/1967;25/01/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/9248/small.jpg?1412322292;21;25;525
47;Bouken Shounen Shadar;冒険少年シャダー;18/09/1967;16/03/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/5231/small.jpg?1408454736;156;10;1560
48;Chibikko Kaijuu Yadamon;ちびっこ怪獣ヤダモン;02/10/1967;25/03/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/5363/small.jpg?1408455198;26;25;650
49;Skyers 5;スカイヤーズ5;04/10/1967;20/12/1967;1967;TV;finished;https://media.kitsu.io/anime/poster_images/6505/small.jpg?1597691079;12;24;288
50;Oraa Guzura Dado;おらぁグズラだど;07/10/1967;25/09/1968;1967;TV;finished;https://media.kitsu.io/anime/poster_images/13192/small.jpg?1597691602;52;25;1300
51;Gegege no Kitarou (1968);ゲゲゲの鬼太郎;03/01/1968;30/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/4246/small.jpg?1408451998;65;25;1625
52;Wanpaku Tanteidan;わんぱく探偵団;01/02/1968;26/09/1968;1968;TV;finished;https://media.kitsu.io/anime/poster_images/6674/small.jpg?1597691020;35;25;875
53;Kyojin no Hoshi;巨人の星;30/03/1968;18/09/1971;1968;TV;finished;https://media.kitsu.io/anime/poster_images/4296/small.jpg?1408452137;182;25;4550
54;Animal 1;アニマル１;01/04/1968;30/09/1968;1968;TV;finished;https://media.kitsu.io/anime/poster_images/9190/small.jpg?1412321894;27;22;594
55;Cyborg 009 (TV);サイボーグ009;05/04/1968;27/09/1968;1968;TV;finished;https://media.kitsu.io/anime/poster_images/3741/small.jpg?1486237108;26;0;34
56;Akane-chan;あかねちゃん;06/04/1968;29/09/1968;1968;TV;finished;https://media.kitsu.io/anime/poster_images/9186/small.jpg?1597690645;26;26;676
57;Fight Da!! Pyuta;ファイトだ!! ピュー太;06/04/1968;28/09/1968;1968;TV;finished;https://media.kitsu.io/anime/poster_images/9261/small.jpg?1597690708;26;24;624
58;Kaibutsu-kun;怪物くん;21/04/1968;23/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/2813/small.jpg?1408447813;49;25;1225
59;Sasuke;サスケ;03/09/1968;25/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/4401/small.jpg?1408452432;29;25;725
60;Yuuyake Banchou;夕やけ番長;30/09/1968;29/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/6807/small.jpg?1408459462;26;10;260
61;Dokachin;ドカチン;02/10/1968;26/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/7346/small.jpg?1408461051;26;25;650
62;Sabu to Ichi Torimono Hikae;佐武と市捕物控;03/10/1968;24/09/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/4379/small.jpg?1408452359;52;25;1300
63;Youkai Ningen Bem;妖怪人間ベム;07/10/1968;31/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/3428/small.jpg?1408449648;26;0;35
64;Johnny Cypher;ジョニーサイファー;21/10/1968;29/03/1969;1968;TV;finished;https://media.kitsu.io/anime/poster_images/9983/small.jpg?1486236595;130;5;650
65;Himitsu no Akko-chan;ひみつのアッコちゃん;06/01/1969;26/10/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/2908/small.jpg?1569384192;94;24;2256
66;Kaitei Shounen Marine;海底少年マリン;13/01/1969;02/09/1971;1969;TV;finished;https://media.kitsu.io/anime/poster_images/5526/small.jpg?1408455706;65;25;1625
67;Sobakasu Pucchi;そばかすプッチー;31/03/1969;04/10/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/9043/small.jpg?1410010623;162;5;810
68;Umeboshi Denka;ウメ星デンカ;01/04/1969;23/09/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/6824/small.jpg?1408459503;26;25;650
69;Kurenai Sanshirou;紅三四郎;02/04/1969;24/09/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/3607/small.jpg?1575364943;26;25;650
70;Mouretsu Atarou;もーれつア太郎;04/04/1969;25/12/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/9465/small.jpg?1597691072;90;25;2250
71;Ninpuu Kamui Gaiden;忍風カムイ外伝;06/04/1969;28/09/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/3888/small.jpg?1408450929;26;22;572
72;Dororo to Hyakkimaru;どろろと百鬼丸;06/04/1969;28/09/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/4266/small.jpg?1408452057;26;26;676
73;Roppou Yabure-kun;六法やぶれクン;28/04/1969;26/09/1969;1969;TV;finished;https://media.kitsu.io/anime/poster_images/9558/small.jpg?1597691046;110;5;550
74;Otoko Ippiki Gaki Daishou;男一匹ガキ大将;29/09/1969;28/03/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/9172/small.jpg?1597690991;156;10;1560
75;Pinch to Punch;ピンチとパンチ;29/09/1969;28/03/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/9534/small.jpg?1597691178;156;5;780
76;Tiger Mask;タイガーマスク;02/10/1969;30/09/1971;1969;TV;finished;https://media.kitsu.io/anime/poster_images/2720/small.jpg?1408447522;105;23;2415
77;Hakushon Daimaou;ハクション大魔王;05/10/1969;27/09/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/2626/small.jpg?1583582802;52;24;1248
78;Muumin;ムーミン;05/10/1969;27/12/1970;1969;TV;finished;https://media.kitsu.io/anime/poster_images/5258/small.jpg?1486236486;65;25;1625
79;Attack No.1;アタックNo.1;07/12/1969;28/11/1971;1969;TV;finished;https://media.kitsu.io/anime/poster_images/1391/small.jpg?1569385858;104;24;2496
80;Itazura Tenshi Chippo-chan;いたずら天使チッポちゃん;30/03/1970;31/12/1970;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9008/small.jpg?1410010238;240;5;1200
81;Doubutsu Mura Monogatari;動物村ものがたり;30/03/1970;21/07/1970;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9819/small.jpg?1413321977;100;5;500
82;Ashita no Joe;あしたのジョー;01/04/1970;29/09/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/2178/small.jpg?1597697244;79;25;1975
83;Bakuhatsu Gorou;ばくはつ五郎;03/04/1970;25/09/1970;1970;TV;finished;https://media.kitsu.io/anime/poster_images/5655/small.jpg?1408456077;26;25;650
84;Otanoshimi Anime Gekijou;おたのしみアニメ劇場;05/04/1970;27/09/1970;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9522/small.jpg?1597691204;26;54;1404
85;Konchuu Monogatari Minashigo Hutch;昆虫物語みなしごハッチ;07/04/1970;28/12/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/3304/small.jpg?1408449314;91;24;2184
86;Akakichi no Eleven;赤き血のイレブン;13/04/1970;05/04/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/2098/small.jpg?1408445783;52;25;1300
87;Nippon Tanjou;日本誕生;10/06/1970;24/10/1970;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9489/small.jpg?1412323840;5;25;125
88;Manga Jinbutsushi;マンガ人物史;01/08/1970;30/09/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9433/small.jpg?1597691045;365;5;1825
89;Ijiwaru Baasan;いじわるばあさん;03/09/1970;18/08/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9336/small.jpg?1486236408;39;25;975
90;Otoko Doahou! Koushien;男どアホウ! 甲子園;28/09/1970;27/03/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9526/small.jpg?1412324080;156;10;1560
91;Kick no Oni;キックの鬼;02/10/1970;26/03/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/3312/small.jpg?1408449336;26;25;650
92;Inakappe Taishou;いなかっぺ大将;04/10/1970;24/09/1972;1970;TV;finished;https://media.kitsu.io/anime/poster_images/5495/small.jpg?1408455622;104;24;2496
93;Norakuro;のらくろ;05/10/1970;29/03/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/8879/small.jpg?1409506147;26;30;780
94;Warera Salaryman Tou;われらサラリーマン党;07/10/1970;31/03/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/9060/small.jpg?1460247220;26;4;104
95;Mahou no Mako-chan;魔法のマコちゃん;02/11/1970;27/09/1971;1970;TV;finished;https://media.kitsu.io/anime/poster_images/3473/small.jpg?1408449776;48;24;1152
96;Kabatotto;カバトット;01/01/1971;30/09/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/3192/small.jpg?1408449022;300;5;1500
97;Andersen Monogatari (TV);アンデルセン物語;03/01/1971;26/12/1971;1971;TV;finished;https://media.kitsu.io/anime/poster_images/5119/small.jpg?1408454403;52;24;1248
98;Chingou Muchabee;珍豪ムチャ兵衛;15/02/1971;22/03/1971;1971;TV;finished;https://media.kitsu.io/anime/poster_images/9230/small.jpg?1412322165;26;30;780
99;Animentary: Ketsudan;アニメンタリー 決断;03/04/1971;25/09/1971;1971;TV;finished;https://media.kitsu.io/anime/poster_images/5333/small.jpg?1408455108;26;25;650
100;Sasurai no Taiyou;さすらいの太陽;08/04/1971;30/09/1971;1971;TV;finished;https://media.kitsu.io/anime/poster_images/3273/small.jpg?1408449234;26;24;624
101;Shin Obake no Q-tarou;新オバケのＱ太郎;01/09/1971;27/12/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/5167/small.jpg?1408454545;70;25;1750
102;Tensai Bakabon;天才バカボン;25/09/1971;24/06/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/4573/small.jpg?1408452925;40;30;1200
103;Sekai Monoshiri Ryoko;世界ものしり旅行;01/10/1971;31/12/1974;1971;TV;finished;https://media.kitsu.io/anime/poster_images/6092/small.jpg?1408457422;1006;5;5030
104;Fushigi na Melmo;ふしぎなメルモ;03/10/1971;26/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/4117/small.jpg?1408451595;26;24;624
105;Sarutobi Ecchan;さるとびエッちゃん;04/10/1971;27/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/4516/small.jpg?1569383255;26;25;650
106;Apache Yakyuugun;アパッチ野球軍;06/10/1971;29/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/3296/small.jpg?1597692185;26;25;650
107;Kunimatsu-sama no Otoridai;国松さまのお通りだい;06/10/1971;25/09/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/9410/small.jpg?1412323320;46;22;1012
108;Gegege no Kitarou (1971);ゲゲゲの鬼太郎;07/10/1971;28/09/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/4812/small.jpg?1408453576;45;25;1125
109;Shin Skyers 5;新スカイヤーズ5;07/10/1971;03/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/9585/small.jpg?1412324491;26;25;650
110;Lupin Sansei;ルパン三世;24/10/1971;26/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/1265/small.jpg?1597697561;23;25;575
111;Genshi Shounen Ryuu;原始少年リュウ;30/10/1971;25/03/1972;1971;TV;finished;https://media.kitsu.io/anime/poster_images/1378/small.jpg?1408443873;22;25;550
112;Kashi no Ki Mokku;樫の木モック;04/01/1972;01/12/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/2339/small.jpg?1408446451;52;24;1248
113;Muumin (1972);ムーミン;09/01/1972;31/12/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/5259/small.jpg?1408454811;52;25;1300
114;Seigi wo Aisuru Mono Gekkou Kamen;正義を愛する者、月光仮面;10/01/1972;02/10/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/3558/small.jpg?1408450016;39;25;975
115;Umi no Triton;海のトリトン;01/04/1972;30/09/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/2479/small.jpg?1408446807;27;0;32
116;Mahoutsukai Chappy;魔法使いチャッピー;03/04/1972;25/12/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/3297/small.jpg?1597692186;39;25;975
117;Akadou Suzunosuke;赤胴鈴之助;05/04/1972;28/03/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/6487/small.jpg?1408458548;52;24;1248
118;Anime Document: München e no Michi;アニメドキュメント ミュンヘンへの道;23/04/1972;20/08/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/9191/small.jpg?1412321902;16;25;400
119;Devilman;デビルマン;08/07/1972;07/04/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/2040/small.jpg?1597698997;39;25;975
120;Mon Cheri CoCo;モンシェリCOCO;27/08/1972;26/11/1972;1972;TV;finished;https://media.kitsu.io/anime/poster_images/9461/small.jpg?1412323634;13;25;325
121;Kagaku Ninja-tai Gatchaman;科学忍者隊ガッチャマン;01/10/1972;29/09/1974;1972;TV;finished;https://media.kitsu.io/anime/poster_images/2166/small.jpg?1597698271;105;25;2625
122;Astroganger;アストロガンガー;04/10/1972;28/03/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/4052/small.jpg?1426214782;26;24;624
123;Kaiketsu Tamagon;かいけつタマゴン;05/10/1972;28/09/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/7790/small.jpg?1597690859;195;5;975
124;Hazedon;ハゼドン;05/10/1972;29/03/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/9842/small.jpg?1413322126;26;25;650
125;Dokonjou Gaeru;ど根性ガエル;07/10/1972;28/09/1974;1972;TV;finished;https://media.kitsu.io/anime/poster_images/4204/small.jpg?1408451868;103;25;2575
126;Ryuuichi Manga Gekijou Onbu Obake;おんぶおばけ;07/10/1972;29/09/1973;1972;TV;finished;https://media.kitsu.io/anime/poster_images/5442/small.jpg?1408455488;52;25;1300
127;Mazinger Z;マジンガーＺ;03/12/1972;01/09/1974;1972;TV;finished;https://media.kitsu.io/anime/poster_images/2041/small.jpg?1597698151;92;0;62
128;Babel Nisei;バビル２世;01/01/1973;24/09/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/1496/small.jpg?1597691427;39;25;975
129;Kerokko Demetan;けろっこデメタン;02/01/1973;25/09/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/9016/small.jpg?1410010304;39;24;936
130;Yama Nezumi Rocky Chuck;山ねずみ ロッキーチャック;07/01/1973;30/12/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/3712/small.jpg?1408450425;52;0;48
131;Jungle Kurobe;ジャングル黒べえ;02/03/1973;28/09/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/6395/small.jpg?1597690891;31;25;775
132;Doraemon;ドラえもん;01/04/1973;30/09/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/8898/small.jpg?1486236658;26;23;25
133;Wansa-kun;ワンサくん;02/04/1973;24/09/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/4761/small.jpg?1408453436;26;25;650
134;Kouya no Shounen Isamu;荒野の少年イサム;04/04/1973;27/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/3701/small.jpg?1408450394;52;24;1248
135;Microid S;ミクロイドＳ;07/04/1973;06/10/1973;1973;TV;finished;https://media.kitsu.io/anime/poster_images/3298/small.jpg?1408449299;26;25;650
136;Miracle Shoujo Limit-chan;ミラクル少女リミットちゃん;01/10/1973;25/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/3153/small.jpg?1408448920;25;0;33
137;Zero Tester;ゼロテスター;01/10/1973;17/06/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/5770/small.jpg?1597691034;38;24;912
138;Shinzou Ningen Casshern;新造人間キャシャーン;02/10/1973;25/06/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/3799/small.jpg?1408450690;35;25;875
139;Karate Baka Ichidai;空手バカ一代;03/10/1973;25/09/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/4994/small.jpg?1408454046;47;24;1128
140;Dororon Enma-kun;ドロロンえん魔くん;04/10/1973;28/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/1192/small.jpg?1597691457;25;24;600
141;Ace wo Nerae!;エースをねらえ!;05/10/1973;29/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/281/small.jpg?1408441117;26;24;624
142;Bouken Korobokkuru;冒険コロボックル;06/10/1973;30/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/5232/small.jpg?1408454739;26;25;650
143;Samurai Giants;侍ジャイアンツ;07/10/1973;15/09/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/5938/small.jpg?1597690864;46;25;1150
144;Cutey Honey;キューティーハニー;13/10/1973;30/03/1974;1973;TV;finished;https://media.kitsu.io/anime/poster_images/1492/small.jpg?1597698921;25;25;35
145;Hoshi no Ko Poron;星の子ポロン;04/01/1974;04/04/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/6475/small.jpg?1408458517;260;5;1300
146;Alps no Shoujo Heidi;アルプスの少女ハイジ;06/01/1974;29/12/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/2016/small.jpg?1597697963;52;25;1300
147;Dame Oyaji;ダメおやじ;04/02/1974;10/09/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/6394/small.jpg?1408458280;26;25;650
148;Majokko Megu-chan;魔女っ子メグちゃん;01/04/1974;29/09/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/2975/small.jpg?1408448318;72;0;54
149;Chargeman Ken!;チャージマン研！;01/04/1974;28/06/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/4541/small.jpg?1501136956;65;6;390
150;Judo Sanka;柔道讃歌;01/04/1974;30/09/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/6619/small.jpg?1408458919;27;21;567
151;Chiisana Viking Vickie;小さなバイキングビッケ;03/04/1974;24/09/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/2590/small.jpg?1597698517;78;24;1872
152;Getter Robo;ゲッターロボ;04/04/1974;08/05/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/3120/small.jpg?1597698528;51;25;1275
153;Hoshi no Ko Chobin;星の子チョビン;05/04/1974;27/09/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/3286/small.jpg?1408449268;26;0;9
154;Shin Minashigo Hutch;新みなしごハッチ;05/04/1974;27/09/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/5209/small.jpg?1408454675;26;25;650
155;Tonari no Tamageta-kun;となりのたまげ太くん;05/04/1974;27/06/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/9057/small.jpg?1410010775;60;5;300
156;Gan to Gon;ガンとゴン;05/04/1974;13/08/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/9271/small.jpg?1412322453;260;5;1300
157;Zero Tester: Chikyuu wo Mamore!;ゼロテスター 地球を守れ!;24/06/1974;30/12/1974;1974;TV;finished;https://media.kitsu.io/anime/poster_images/5772/small.jpg?1597691165;28;24;672
158;Great Mazinger;グレートマジンガー;08/09/1974;26/09/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/4227/small.jpg?1408451933;56;0;47
159;Urikupen Kyuujo-tai;ウリクペン救助隊;30/09/1974;29/03/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/3702/small.jpg?1486236463;156;5;780
160;Hurricane Polymar;破裏拳ポリマー;04/10/1974;08/03/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/3798/small.jpg?1408450676;26;25;650
161;Jim Button;ジムボタン;04/10/1974;28/03/1975;1974;TV;finished;https://media.kitsu.io/anime/poster_images/4675/small.jpg?1408453207;26;23;598
162;Hajime Ningen Gyatoruz;はじめ人間ギャートルズ;05/10/1974;27/03/1976;1974;TV;finished;https://media.kitsu.io/anime/poster_images/5482/small.jpg?1408455591;77;24;1848
